Material ID,Formula,Chemical System,Density,Volume,Number of Sites,Number of Elements,Crystal System,Space Group Number,Mean Atomic Mass,Volume per Atom
mp-10064,SiO2,Si-O,4.146372204259828,24.062559428747754,3,2,Cubic,225,20.0281,8.020853142915918
mp-1021503,SiO2,Si-O,3.616399587026764,55.17771207397914,6,2,Cubic,224,20.0281,9.19628534566319
mp-1063118,Si2O,Si-O,2.709180112854837,44.23543796551016,3,2,Monoclinic,8,24.0568,14.745145988503387
mp-1071820,SiO2,Si-O,2.434757208771469,81.95669549248659,6,2,Orthorhombic,72,20.0281,13.659449248747764
mp-10851,SiO2,Si-O,2.435533950482232,122.89583673299464,9,2,Hexagonal,181,20.028100000000002,13.655092970332738
mp-10948,SiO2,Si-O,4.216929108859675,94.6397959302569,12,2,Orthorhombic,60,20.0281,7.886649660854741
mp-1103547,Al2Si2O9,Si-Al-O,2.3977384368966885,175.99525891978746,13,3,Triclinic,1,19.548359784615386,13.53809683998365
mp-1103571,Al2Si2O11,Si-Al-O,1.9168841293344836,247.86362791113189,15,3,Monoclinic,8,19.07516514666667,16.524241860742126
mp-11684,SiO2,Si-O,2.905899681230471,274.67521531634554,24,2,Monoclinic,15,20.0281,11.444800638181064
mp-1173536,Si6O13,Si-O,1.9242092658481291,1299.6540560279852,76,2,Monoclinic,6,19.816063157894735,17.100711263526122
mp-1179195,Si2O3,Si-O,1.7392959055103991,994.5232770922947,50,2,Monoclinic,15,20.83384,19.890465541845895
mp-1179275,Si4O9,Si-O,2.006336515027573,848.625214974505,52,2,Tetragonal,141,19.7182,16.319715672586632
mp-1179447,SiO2,Si-O,1.7711175326825737,450.66383562966627,24,2,Tetragonal,141,20.0281,18.777659817902762
mp-1179454,SiO2,Si-O,1.9101332163628038,208.93271050213397,12,2,Tetragonal,139,20.0281,17.411059208511166
mp-1179488,SiO2,Si-O,1.9717222205042593,1416.8452042344081,84,2,Monoclinic,12,20.028100000000002,16.867204812314384
mp-1179508,SiO2,Si-O,3.1290862338775285,95.65635471963952,9,2,Trigonal,154,20.028100000000002,10.628483857737725
mp-1179529,SiO2,Si-O,1.252652426075424,955.7862229154617,36,2,Tetragonal,92,20.028100000000002,26.54961730320727
mp-1179651,Si5O8,Si-O,1.7754862333877692,502.089367918681,26,2,Triclinic,1,20.6479,19.311129535333883
mp-1182905,Al2Si2O11,Si-Al-O,1.4165881556111461,335.40154398448794,15,3,Monoclinic,8,19.07516514666667,22.360102932299196
mp-1183015,Al2SiO5,Si-Al-O,1.7072842412277685,630.435179774833,32,3,Triclinic,2,20.25569715,19.701099367963533
mp-1183020,Al2Si2O11,Si-Al-O,1.7938864206843443,264.85838183716345,15,3,Monoclinic,8,19.07516514666667,17.657225455810895
mp-1183132,AlSiO3,Si-Al-O,3.7963894480575666,45.080689872433354,5,3,Cubic,221,20.61304772,9.016137974486671
mp-1188220,SiO2,Si-O,1.6886419875287537,354.50614748027886,18,2,Cubic,217,20.028100000000002,19.694785971126603
mp-1192629,Al2Si2O9,Si-Al-O,2.4037819606205484,351.1055527803529,26,3,Monoclinic,9,19.548359784615386,13.504059722321266
mp-1192644,Al2Si2O9,Si-Al-O,2.40058078752168,351.5737518329597,26,3,Monoclinic,9,19.548359784615386,13.522067378190759
mp-1192646,Al2Si2O9,Si-Al-O,2.3627482436511213,357.20318333320444,26,3,Monoclinic,9,19.548359784615386,13.738583974354016
mp-1193561,Al3(SiO5)2,Si-Al-O,3.172396424159896,155.51717339939992,15,3,Triclinic,2,19.80730772,10.367811559959994
mp-1194176,Al2Si2O9,Si-Al-O,2.286982170696273,369.0370676524197,26,3,Triclinic,1,19.548359784615386,14.19373337124691
mp-1194828,Si17O37,Si-O,1.7599115238745437,2018.092876926347,108,2,Monoclinic,12,19.804283333333334,18.686045156725434
mp-1195265,SiO2,Si-O,1.7365340535461955,5515.666927461929,288,2,Orthorhombic,62,20.028100000000002,19.151621275909477
mp-1196880,Al2SiO6,Si-Al-O,3.238441057009568,365.17649753190744,36,3,Orthorhombic,62,19.782775244444444,10.14379159810854
mp-1199711,Si18O29,Si-O,1.7242737257735874,3734.7399566493805,188,2,Monoclinic,10,20.62811914893617,19.86563806728394
mp-1199998,SiO2,Si-O,1.5139601846520503,2504.259019772263,114,2,Monoclinic,12,20.028100000000002,21.96718438396722
mp-1200292,SiO2,Si-O,1.6982994006212775,5639.84386030652,288,2,Monoclinic,14,20.028100000000002,19.58279118161986
mp-1200685,SiO2,Si-O,1.715003668599166,930.8185577021425,48,2,Orthorhombic,21,20.0281,19.3920532854613
mp-1201477,Al2Si2O9,Si-Al-O,2.361527644254293,714.7756208575952,52,3,Monoclinic,9,19.548359784615386,13.745685016492216
mp-1201738,SiO2,Si-O,2.8045766199971056,1138.3944584555557,96,2,Monoclinic,14,20.0281,11.858275608912038
mp-1201887,SiO2,Si-O,1.6525195465704015,1449.0212033247046,72,2,Hexagonal,192,20.028100000000002,20.1252944906209
mp-1203655,SiO2,Si-O,1.6630227784237275,2879.7391027423755,144,2,Tetragonal,127,20.028100000000002,19.998188213488717
mp-1204026,SiO2,Si-O,2.546141584204552,1880.9133606268977,144,2,Cubic,230,20.028100000000002,13.06189833768679
mp-1204057,SiO2,Si-O,1.563004391966636,4596.0252079832,216,2,Hexagonal,191,20.0281,21.277894481403703
mp-1204070,SiO2,Si-O,2.869771887922255,625.7995292152056,54,2,Triclinic,2,20.0281,11.588880170651954
mp-1205213,SiO2,Si-O,1.7872991803873215,4019.2529960822626,216,2,Orthorhombic,47,20.0281,18.607652759640104
mp-1208867,Si2O,Si-O,1.1701844817851879,204.82542827222937,6,2,Cubic,227,24.0568,34.1375713787049
mp-1219421,Si3O8,Si-O,2.15460617014736,654.3232729544848,44,2,Orthorhombic,19,19.295609090909092,14.87098347623829
mp-1221354,Si48O107,Si-O,1.3743744782890073,3697.18422498357,155,2,Orthorhombic,44,19.742192258064517,23.852801451506902
mp-1228240,AlSi3O8,Si-Al-O,2.0554915359502757,386.53152526449526,24,3,Monoclinic,4,19.936103216666666,16.105480219353968
mp-1228255,AlSi3O8,Si-Al-O,2.1780842325256664,364.77573580238374,24,3,Triclinic,2,19.936103216666666,15.198988991765988
mp-1228295,AlSi3O8,Si-Al-O,2.3360976664567397,340.1023381715848,24,3,Triclinic,2,19.936103216666666,14.170930757149366
mp-1228858,Al8SiO14,Si-Al-O,2.8832695176665144,538.9819162225883,46,3,Orthorhombic,26,20.34475690434783,11.71699817875192
mp-1229033,Al(SiO3)2,Si-Al-O,2.1652763549541425,137.38838048095275,9,3,Orthorhombic,21,19.905437622222223,15.26537560899475
mp-1229057,AlSi3O8,Si-Al-O,1.9782180856357385,401.6302774341426,24,3,Monoclinic,7,19.936103216666666,16.734594893089277
mp-1229099,Al(SiO3)2,Si-Al-O,2.27920202716801,522.0841472670758,36,3,Tetragonal,96,19.905437622222223,14.502337424085438
mp-1229207,Al(SiO3)2,Si-Al-O,1.3517947051490133,880.2632842627015,36,3,Triclinic,1,19.905437622222223,24.45175789618615
mp-12350,SiO2,Si-O,0.8927451746504805,894.0721756823554,24,2,Cubic,227,20.0281,37.25300732009814
mp-1244945,SiO2,Si-O,2.0820942021270126,1437.576563204275,90,2,Triclinic,1,20.0281,15.973072924491946
mp-1244965,SiO2,Si-O,2.0641751409489975,1643.3969532820543,102,2,Triclinic,1,20.0281,16.11173483609857
mp-1244968,SiO2,Si-O,2.011112768518672,1686.757297142904,102,2,Triclinic,1,20.0281,16.53683624649906
mp-1245026,SiO2,Si-O,2.0857732878108113,1626.379605827913,102,2,Triclinic,1,20.0281,15.94489809635209
mp-1247816,Al8SiO14,Si-Al-O,1.2040576047995413,1290.6609479675187,46,3,Orthorhombic,26,20.34475690434783,28.057846694946058
mp-1247851,Al10Si2O19,Si-Al-O,2.951428840559345,354.437844585498,31,3,Monoclinic,6,20.32177374193548,11.43347885759671
mp-1247887,Al10Si2O19,Si-Al-O,2.9490635875863194,354.7221162333484,31,3,Monoclinic,6,20.32177374193548,11.442648910753174
mp-1247890,Al2SiO5,Si-Al-O,3.021311004149249,712.493381890849,64,3,Monoclinic,6,20.25569715,11.132709092044516
mp-1247920,Al8(SiO6)3,Si-Al-O,3.0101854715625613,324.41845500620735,29,3,Monoclinic,6,20.27924168275862,11.186843276076116
mp-1248957,SiO2,Si-O,1.6304018583838011,1958.2377596671902,96,2,Monoclinic,12,20.0281,20.398309996533232
mp-1249090,SiO2,Si-O,1.4151135114087607,2397.1639803644493,102,2,Hexagonal,176,20.0281,23.501607650631858
mp-1249332,SiO2,Si-O,1.5679120739539227,2290.8196527728965,108,2,Hexagonal,194,20.0281,21.211293081230522
mp-1249637,SiO2,Si-O,1.5295459049773563,3652.8817645982786,168,2,Monoclinic,12,20.028100000000002,21.743343836894514
mp-1249969,SiO2,Si-O,1.609733477424321,1239.613003990601,60,2,Triclinic,2,20.028100000000002,20.660216733176686
mp-1250261,SiO2,Si-O,1.6067296809902027,1117.7374250720209,54,2,Hexagonal,187,20.0281,20.698841205037425
mp-1250551,SiO2,Si-O,1.804289751542909,6193.29610405414,336,2,Orthorhombic,64,20.028100000000002,18.432428881113513
mp-1250639,SiO2,Si-O,1.7156107720643832,6978.668765898773,360,2,Trigonal,148,20.0281,19.38519101638548
mp-1250755,Si3O7,Si-O,1.8474296157166994,352.79786438736227,20,2,Triclinic,1,19.62523,17.639893219368112
mp-1256499,SiO2,Si-O,1.7955349599027108,2667.211628136479,144,2,Cubic,230,20.028100000000002,18.522302973169992
mp-1256614,SiO2,Si-O,1.6457476093178172,2182.475473455134,108,2,Hexagonal,194,20.0281,20.208106235695684
mp-1257168,SiO2,Si-O,1.5798091795262081,3789.2802069411478,180,2,Hexagonal,178,20.0281,21.0515567052286
mp-1258196,SiO2,Si-O,1.7807076755692732,1905.0061861454426,102,2,Monoclinic,3,20.0281,18.676531236720024
mp-1265115,SiO2,Si-O,2.088805192343383,382.12209714694416,24,2,Tetragonal,87,20.0281,15.92175404778934
mp-1268079,SiO2,Si-O,1.6058095737083118,3976.454661614391,192,2,Monoclinic,14,20.0281,20.710701362574955
mp-12787,SiO2,Si-O,2.638756646234437,226.86213460666156,18,2,Monoclinic,15,20.028100000000002,12.603451922592308
mp-1344662,AlSi3O8,Si-Al-O,2.178084380061492,364.77571109374986,24,3,Triclinic,2,19.936103216666666,15.198987962239578
mp-1353259,SiO2,Si-O,1.2482126641255813,959.1858545861247,36,2,Tetragonal,96,20.028100000000002,26.64405151628124
mp-1365799,SiO2,Si-O,0.5719008336494148,2791.3182624209176,48,2,Tetragonal,141,20.0281,58.15246380043578
mp-1391176,SiO4,Si-O,1.9821640511248029,231.42522191919176,15,2,Triclinic,1,18.41662,15.428348127946117
mp-1398433,SiO2,Si-O,2.033581259998318,196.24950237551354,12,2,Triclinic,1,20.0281,16.354125197959462
mp-15078,SiO2,Si-O,1.7714059441818617,1013.8285367706783,54,2,Orthorhombic,71,20.0281,18.77460253279034
mp-16964,SiO2,Si-O,1.956706232252907,611.8792444208716,36,2,Orthorhombic,36,20.028100000000002,16.996645678357545
mp-17279,SiO2,Si-O,1.6805139235541446,949.9220559167986,48,2,Monoclinic,12,20.0281,19.790042831599973
mp-17909,SiO2,Si-O,1.5120982725207326,791.7924070825253,36,2,Trigonal,166,20.028100000000002,21.994233530070147
mp-18280,SiO2,Si-O,1.7092876121826952,700.448492349192,36,2,Monoclinic,12,20.028100000000002,19.456902565255334
mp-2374583,SiO2,Si-O,2.6312563843426218,606.6901160823915,48,2,Tetragonal,125,20.0281,12.639377418383155
mp-28503,Al10Si2O19,Si-Al-O,3.0352883639051917,689.2907370088708,62,3,Orthorhombic,36,20.32177374193548,11.117592532401142
mp-32566,Si3O,Si-O,2.1294689373238453,312.7142846215067,16,2,Monoclinic,15,25.063975,19.54464278884417
mp-32667,SiO2,Si-O,4.195638145622622,142.68007504336956,18,2,Monoclinic,14,20.028100000000002,7.926670835742753
mp-32761,SiO,Si-O,2.5801999474067014,170.2302929034805,12,2,Hexagonal,181,22.042450000000002,14.185857741956708
mp-32881,Si3O,Si-O,2.1447780668803227,310.48217325699835,16,2,Monoclinic,15,25.063975,19.405135828562397
mp-32895,SiO2,Si-O,1.2925538610264087,3705.123529610678,144,2,Cubic,227,20.028100000000002,25.730024511185263
mp-34150,SiO2,Si-O,1.636679902657333,975.3631352517338,48,2,Monoclinic,12,20.0281,20.320065317744454
mp-4753,Al2SiO5,Si-Al-O,3.1566437780709897,340.9735539443443,32,3,Orthorhombic,58,20.25569715,10.65542356076076
mp-4934,Al2SiO5,Si-Al-O,3.250832006462754,331.09433074529426,32,3,Orthorhombic,62,20.25569715,10.346697835790446
mp-5065,Al2SiO5,Si-Al-O,3.6770839190184095,292.7134847203847,32,3,Triclinic,2,20.25569715,9.147296397512022
mp-530027,Si6O13,Si-O,1.7264021181069964,1448.5654012914977,76,2,Hexagonal,192,19.816063157894735,19.060071069624968
mp-530546,SiO2,Si-O,1.6368751528507814,3291.457922045618,162,2,Hexagonal,175,20.028100000000002,20.317641494108752
mp-532105,SiO2,Si-O,1.6128370494366637,3340.514586474914,162,2,Hexagonal,191,20.028100000000002,20.620460410338975
mp-542814,SiO2,Si-O,2.2357112178231136,1071.0398743808114,72,2,Orthorhombic,19,20.028100000000002,14.875553810844602
mp-545488,SiO2,Si-O,2.3779010503725755,167.83259768202274,12,2,Monoclinic,13,20.0281,13.986049806835227
mp-545719,SiO2,Si-O,2.188688700324228,182.34174200091564,12,2,Tetragonal,98,20.0281,15.19514516674297
mp-546546,SiO2,Si-O,2.0893477151957516,143.2585780524745,9,2,Trigonal,155,20.028100000000002,15.917619783608277
mp-546794,SiO2,Si-O,2.2236128861254056,89.73893630609501,6,2,Tetragonal,122,20.0281,14.956489384349169
mp-553881,SiO2,Si-O,3.062423753943854,130.31812132494207,12,2,Monoclinic,7,20.0281,10.859843443745172
mp-553945,SiO2,Si-O,1.7080821026103659,1869.180923820624,96,2,Orthorhombic,31,20.0281,19.4706346231315
mp-553993,SiO2,Si-O,1.554712693898648,1026.7860084529711,48,2,Tetragonal,141,20.0281,21.391375176103566
mp-554089,SiO2,Si-O,2.2578720498038316,176.75461740602768,12,2,Orthorhombic,33,20.0281,14.729551450502306
mp-554151,SiO2,Si-O,2.0908632096703403,190.87298894974714,12,2,Tetragonal,82,20.0281,15.906082412478929
mp-554175,SiO2,Si-O,1.624857146007125,982.4600551391235,48,2,Tetragonal,140,20.0281,20.467917815398405
mp-554243,SiO2,Si-O,1.8514146589109108,323.3386765039466,18,2,Hexagonal,179,20.028100000000002,17.96325980577481
mp-554258,SiO2,Si-O,1.8024077515419816,885.6804127110838,48,2,Tetragonal,140,20.0281,18.451675264814245
mp-554267,SiO2,Si-O,1.928351744994017,827.8350904618346,48,2,Tetragonal,141,20.0281,17.246564384621554
mp-554397,SiO2,Si-O,2.42924853706417,328.57017651816955,24,2,Orthorhombic,54,20.0281,13.690424021590397
mp-554498,SiO2,Si-O,2.052495757493227,583.3229747606287,36,2,Hexagonal,177,20.028100000000002,16.20341596557302
mp-554543,SiO2,Si-O,1.8248092853011744,437.40385752034615,24,2,Tetragonal,140,20.0281,18.225160730014423
mp-554573,SiO2,Si-O,2.2062458042303836,180.8906829645195,12,2,Orthorhombic,40,20.0281,15.074223580376625
mp-554665,SiO2,Si-O,2.117190556733614,376.9989517906709,24,2,Tetragonal,132,20.0281,15.70828965794462
mp-554682,SiO2,Si-O,1.6930091848344733,2828.733456780571,144,2,Tetragonal,82,20.028100000000002,19.643982338753965
mp-554755,SiO2,Si-O,1.4651788999708466,2179.0611935390584,96,2,Tetragonal,131,20.0281,22.698554099365193
mp-554946,SiO2,Si-O,1.7084841634074466,2803.111568928227,144,2,Orthorhombic,44,20.028100000000002,19.466052562001575
mp-555147,SiO2,Si-O,2.639877869344921,151.17718700140955,12,2,Monoclinic,9,20.0281,12.59809891678413
mp-555165,SiO2,Si-O,2.5155044922413228,634.6071915924107,48,2,Tetragonal,142,20.0281,13.220983158175223
mp-555211,SiO2,Si-O,1.5479107658428222,1031.2979769154574,48,2,Tetragonal,139,20.0281,21.485374519072028
mp-555235,SiO2,Si-O,2.1950237327034943,181.81548762723517,12,2,Monoclinic,9,20.0281,15.151290635602932
mp-555251,SiO2,Si-O,1.8597475365084972,214.59327273211113,12,2,Orthorhombic,46,20.0281,17.882772727675928
mp-555355,SiO2,Si-O,2.253858050320162,531.2082235056669,36,2,Hexagonal,177,20.028100000000002,14.755783986268524
mp-555394,SiO2,Si-O,0.5719008336494148,2791.3182624209176,48,2,Orthorhombic,74,20.0281,58.15246380043578
mp-555411,SiO2,Si-O,2.399480347158499,332.64645054288303,24,2,Orthorhombic,70,20.0281,13.860268772620126
mp-555483,SiO2,Si-O,2.4353772615719738,163.87165824864348,12,2,Orthorhombic,70,20.0281,13.655971520720291
mp-555497,SiO2,Si-O,2.7102967157872717,883.4958356924722,72,2,Cubic,206,20.028100000000002,12.27077549572878
mp-555521,SiO2,Si-O,1.6989712398893289,1879.2045489402703,96,2,Tetragonal,141,20.0281,19.575047384794484
mp-555544,SiO2,Si-O,2.0154250662857365,396.0348781910594,24,2,Orthorhombic,70,20.0281,16.501453257960808
mp-555556,SiO2,Si-O,2.001834016700103,797.4473547466503,48,2,Tetragonal,135,20.0281,16.61348655722188
mp-555676,SiO2,Si-O,2.252291924936925,354.38506518289466,24,2,Orthorhombic,48,20.0281,14.766044382620612
mp-555700,SiO2,Si-O,1.8506983036436861,862.5702190986093,48,2,Tetragonal,141,20.0281,17.970212897887695
mp-555740,SiO2,Si-O,2.648581061455718,301.3608426962711,24,2,Cubic,206,20.0281,12.556701779011297
mp-555791,SiO2,Si-O,1.1062949829773714,4328.928357687431,144,2,Cubic,229,20.028100000000002,30.062002483940496
mp-555823,SiO2,Si-O,2.1438597790216876,558.4637310052392,36,2,Hexagonal,177,20.028100000000002,15.5128814168122
mp-555891,SiO2,Si-O,2.246806325836915,177.62514985183805,12,2,Monoclinic,4,20.0281,14.802095820986503
mp-555960,SiO2,Si-O,0.9377696221568234,1702.291483475245,48,2,Triclinic,2,20.0281,35.464405905734274
mp-556027,SiO2,Si-O,1.6234637612411913,368.7387299699159,18,2,Trigonal,167,20.028100000000002,20.48548499832866
mp-556044,SiO2,Si-O,1.7590087891581896,680.6492033035814,36,2,Trigonal,163,20.028100000000002,18.906922313988375
mp-556068,SiO2,Si-O,0.7612361597405772,3145.5886997079538,72,2,Cubic,229,20.028100000000002,43.688731940388244
